확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-13,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,969,760",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-08-13,카카오페이지,2,미친 전무님의 애착 변호사,진하리,2026-08-12,뷰수,"74,241",#오해물 #복수물 #원나잇 #재벌남 #사이다남 #계략남 #능글남 #유혹남 #오만남 #카리스마남 #능력녀 #상처녀 #전문직물 #로맨틱코미디 #달달물,https://page.kakao.com/content/70142886
2026-08-13,카카오페이지,3,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"925,205",#현대로맨스 #재회물 #베이비메신저 #첫사랑 #까칠남 #능글남 #소유욕/독점욕 #외유내강 #철벽녀 #상처녀 #친구>연인 #능력남,https://page.kakao.com/content/69836997
2026-08-13,카카오페이지,4,미친 팀장의 계략 연애 [19세 완전판] [단행본],유라떼,2026-07-05,뷰수,"109,895",#현대로맨스 #짝사랑 #사내연애 #능력남 #카리스마남 #엉뚱발랄녀 #계약관계 #로맨틱코미디 #몸정>맘정 #갑을관계 #오피스물 #유혹남 #절륜남 #순진녀 #짝사랑녀,https://page.kakao.com/content/69520555
2026-08-13,카카오페이지,5,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"388,397",#막장 #동양풍 #해외로맨스,https://page.kakao.com/content/69855205
2026-08-13,카카오페이지,6,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,180,234",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-08-13,카카오페이지,7,오빠 친구랑 단둘이 몰래,윤손,2026-08-08,뷰수,"202,853",#현대로맨스 #재회물 #동거물 #첫사랑 #까칠남 #소유욕/독점욕 #오빠 #재벌남 #능력남 #오만남 #츤데레남 #순진녀 #상처녀 #나이차커플 #로맨틱코미디,https://page.kakao.com/content/69936999
2026-08-13,카카오페이지,8,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,054,643",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-08-13,카카오페이지,9,"농가, 처빙부귀","청월류가,이소정",2026-08-07,뷰수,"106,372",#해외로맨스 #동양풍 #능력녀 #다정남 #조신남 #달달물,https://page.kakao.com/content/70197782
2026-08-13,카카오페이지,10,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,639,895",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-08-13,카카오페이지,11,농가세자비 : 의술과 미소로 천하를 홀리다,화지견,2026-08-11,뷰수,"19,874",#해외로맨스 #궁정로맨스 #동양풍 #시월드 #회귀물 #가상시대물 #첫사랑 #다정남 #집착남 #순진남 #직진남 #동정남 #능력녀,https://page.kakao.com/content/70244455
2026-08-13,카카오페이지,12,청룡 가문의 많이 수상한 삐약이,라비올리,2026-08-04,뷰수,"254,995",#동양풍 #수인물 #육아물 #회귀물,https://page.kakao.com/content/69968194
2026-08-13,카카오페이지,13,오빠 친구와의 맞선,휘나,2026-07-23,뷰수,"610,526",#현대로맨스 #맞선관계 #오빠 #능력녀 #외유내강 #순정남 #무심남 #냉정남 #직진남,https://page.kakao.com/content/69723868
2026-08-13,카카오페이지,14,오빠 친구와 신혼 계약,트래블러,2026-07-11,뷰수,"732,785",#현대로맨스 #원나잇 #까칠남 #능력남 #상처녀 #달달물,https://page.kakao.com/content/69635115
2026-08-13,카카오페이지,15,플래그 [19세 완전판],꽃제이,2026-06-22,뷰수,"1,307,864",#현대로맨스 #조직/암흑가 #복수물 #전문직물 #소유욕/독점욕 #재벌남 #능력남 #철벽남 #냉정남 #오만남 #미스터리 #능력녀 #도도녀 #라이벌/앙숙 #삼각관계,https://page.kakao.com/content/69454506
2026-08-13,리디북스,1,이주,스무이레,2026-08-07,별점(리뷰수),"4.7(1,349)",#현대물 #첫사랑 #재회물 #순정남 #다정남 #절륜남 #계략남 #상처녀 #능글남 #재벌남 #애잔물 #법조계 #권선징악 #오래된연인 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #사이다남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #대형견남 #뇌섹녀 #능력녀 #사이다녀 #다정녀 #짝사랑녀 #순정녀 #철벽녀 #까칠녀 #외유내강 #걸크러시 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #스무이레 #신영미디어,https://ridibooks.com/books/211058233
2026-08-13,리디북스,2,안티 로맨틱,달홍시,2026-08-08,별점(리뷰수),4.5(284),#현대물 #로맨틱코미디 #첫사랑 #원나잇 #재회물 #순정남 #동정남 #연하남 #절륜남 #절륜녀 #상처녀 #재벌남 #권선징악 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #직진남 #짝사랑남 #존댓말남 #능력녀 #유혹녀 #까칠녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #달홍시 #레브,https://ridibooks.com/books/845057266
2026-08-13,리디북스,3,질릴 장난감,밀혜혜,2026-08-10,별점(리뷰수),4.2(294),#현대물 #사내연애 #속도위반 #까칠남 #나쁜남자 #절륜남 #상처녀 #재벌남 #비밀연애 #갑을관계 #신분차이 #능력남 #냉정남 #오만남 #능력녀 #다정녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #밀혜혜 #나인,https://ridibooks.com/books/6323000001
2026-08-13,리디북스,4,핑커 퐁커 스토커,또다른,2026-08-02,별점(리뷰수),"4.7(1,111)",#현대물 #로맨틱코미디 #사내연애 #절륜남 #순진녀 #능글남 #달달물 #갑을관계 #오만남 #엉뚱녀 #별점1000개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #또다른 #나인,https://ridibooks.com/books/5238000634
2026-08-13,리디북스,5,푹푹,외정,2026-08-11,별점(리뷰수),4.7(249),#현대물 #동거 #복수 #절륜남 #계략남 #순진녀 #능글남 #애증 #경찰/형사/수사관 #몸정>맘정 #유혹남 #오만남 #동정녀 #엉뚱녀 #추리/미스터리/스릴러 #더티토크 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #외정 #로즈벨벳,https://ridibooks.com/books/3170055655
2026-08-13,리디북스,6,궁합을 봅시다,김살구,2026-08-03,별점(리뷰수),4.6(615),#현대물 #동거 #동정남 #절륜남 #재벌남 #권선징악 #몸정>맘정 #소유욕/독점욕/질투 #집착남 #직진녀 #다정녀 #순정녀 #동정녀 #쾌활발랄녀 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #김살구 #에피루스,https://ridibooks.com/books/945097941
2026-08-13,리디북스,7,사견(飼犬),유오뜨,2026-08-12,별점(리뷰수),4.4(121),#현대물 #절륜남 #카리스마남 #능글남 #애증 #조직/암흑가 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #오만남 #능력녀 #계략녀 #까칠녀 #도도녀 #별점100개이상 #5000~1만원 #10%할인 #고수위 #평점4점이상 #리뷰100개이상 #단행본 #유오뜨 #플로레뜨,https://ridibooks.com/books/297091314
2026-08-13,리디북스,8,어린 손님,산자고,2026-08-05,별점(리뷰수),4.4(217),#현대물 #나이차커플 #동거 #첫사랑 #까칠남 #다정남 #절륜남 #상처녀 #조직/암흑가 #능력남 #철벽남 #무심남 #직진녀 #집착녀 #짝사랑녀 #순정녀 #동정녀 #이야기중심 #츤데레남 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #산자고 #이브,https://ridibooks.com/books/3049083558
2026-08-13,리디북스,9,러브:제로(Love:Zero),이분홍,2025-04-10,별점(리뷰수),"4.8(6,154)",#현대물 #19+ #동거 #로맨틱코미디 #첫사랑 #친구>연인 #까칠남 #나쁜남자 #순정남 #동정남 #후회남 #절륜남 #순진녀 #상처녀 #재벌남 #달달물 #베이비메신저 #애증 #외국인/혼혈 #스포츠물 #비밀연애 #신분차이 #계약연애/결혼 #소유욕/독점욕/질투 #능력남 #사이다남 #직진남 #집착남 #평범녀 #뇌섹녀 #순정녀 #동정녀 #힐링물 #성장물 #츤데레남 #1만원~2만원 #리뷰1000개이상 #별점5000개이상 #평점4점이상 #단행본 #이분홍 #나인,https://ridibooks.com/books/5721000280
2026-08-13,리디북스,10,양의 언덕,문설영,2026-01-29,별점(리뷰수),"4.7(3,152)",#현대물 #19+ #나쁜남자 #후회남 #절륜남 #계략남 #오해 #갑을관계 #소유욕/독점욕/질투 #집착남 #오만남 #직진녀 #짝사랑녀 #순정녀 #동정녀 #피폐물 #1만원~2만원 #리뷰1000개이상 #별점3000개이상 #10%할인 #평점4점이상 #단행본 #문설영 #에피루스,https://ridibooks.com/books/945091557
2026-08-13,리디북스,11,접근법,유송주,2026-08-06,별점(리뷰수),4.5(116),#현대물 #기억상실 #나쁜남자 #절륜남 #계략남 #재벌남 #소유욕/독점욕/질투 #운명적사랑 #능력남 #집착남 #오만남 #집착녀 #짝사랑녀 #무심녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #단행본 #유송주 #이지콘텐츠,https://ridibooks.com/books/3885049156
2026-08-13,리디북스,12,숫것,가김,2026-07-16,별점(리뷰수),"4.8(1,368)",#현대물 #19+ #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #나쁜남자 #순정남 #동정남 #다정남 #절륜남 #상처녀 #능글남 #애증 #조직/암흑가 #법조계 #소유욕/독점욕/질투 #직진남 #애교남 #집착남 #대형견남 #뇌섹녀 #능력녀 #후회녀 #순정녀 #동정녀 #까칠녀 #무심녀 #도도녀 #외유내강 #우월녀 #이야기중심 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #고수위 #평점4점이상 #단행본 #가김 #블랙엔,https://ridibooks.com/books/4934000651
2026-08-13,리디북스,13,남자는 고쳐 쓰는 게 아니다,설리연,2026-08-06,별점(리뷰수),4.0(57),#현대물 #기억상실 #나이차커플 #신데렐라 #계략남 #순진녀 #카리스마남 #재벌남 #집착남 #오만남 #엉뚱녀 #3000~5000원 #10%할인 #평점4점이상 #단행본 #설리연 #리플린,https://ridibooks.com/books/5200000660
2026-08-13,리디북스,14,후회의 끝자락,킴쓰컴퍼니,2026-08-09,별점(리뷰수),4.3(66),#현대물 #첫사랑 #신파 #원나잇 #까칠남 #상처남 #나쁜남자 #후회남 #상처녀 #오해 #전문직 #갑을관계 #오만남 #철벽녀 #동정녀 #5000~1만원 #10%할인 #평점4점이상 #단행본 #킴쓰컴퍼니 #이지콘텐츠,https://ridibooks.com/books/3885049175
2026-08-13,리디북스,15,연정(憐情),님도르신,2026-08-06,별점(리뷰수),4.6(50),#현대물 #나쁜남자 #애증 #조직/암흑가 #평범녀 #피폐물 #3000~5000원 #10%할인 #평점4점이상 #님도르신 #페퍼민트,https://ridibooks.com/books/2213019364
2026-08-13,네이버시리즈,1,김택서 복수일지 [독점],그일도,2026-08-06,다운로드수,58.2만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
