확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-09-20,독사과를 삼켰다면 [독점],윙클레인,2026-09-19,9.3,190,4.1만,#NOVEL #로맨스 #까칠자상남 #상처녀 #후회남 #재벌 #전문직로맨스,https://series.naver.com/novel/detail.series?productNo=14712908
2026-09-20,명예 남편 [독점],진숙,2026-09-19,9.2,210,4.6만,#NOVEL #로맨스 #계약관계 #선결혼후연애 #나이차커플 #능력남 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=14711728
2026-09-20,나의 시궁창에 널 초대할게 [독점],두번째처음,2026-09-14,10.0,611,2.2만,#NOVEL #로맨스 #복수물 #재회물 #직진남 #유혹녀 #비서물,https://series.naver.com/novel/detail.series?productNo=14692739
2026-09-20,수상하고 찬란한 탐정님 [독점],소리유,2026-09-14,8.3,4,4.6천,#NOVEL #로맨스 #전문직로맨스 #재벌 #상처녀 #로맨틱코미디 #일상로맨스,https://series.naver.com/novel/detail.series?productNo=14691313
2026-09-20,기준 밖의 연애 [독점],멜로그레이스,2026-09-14,10.0,614,3.4만,#NOVEL #로맨스 #순정남 #까칠자상남 #몸정>맘정 #소유욕/집착 #친구에서연인,https://series.naver.com/novel/detail.series?productNo=14684959
2026-09-20,나의 미친 아내에게 [독점],캐리조이,2026-09-07,10.0,25,3.2만,#NOVEL #로맨스 #오해 #복수물 #선결혼후연애 #상처녀 #능력남,https://series.naver.com/novel/detail.series?productNo=14655681
2026-09-20,청순한 스캔들 [독점],비단라,2026-09-07,9.9,762,10.7만,#NOVEL #로맨스 #직진남 #능글남 #능력녀 #로맨틱코미디 #계약관계,https://series.naver.com/novel/detail.series?productNo=14651129
2026-09-20,영원히 태양을 길들이면 [선공개],릴리원,2026-09-07,9.7,13,2.7만,#NOVEL #로맨스 #능력녀 #직진남 #첫사랑 #까칠자상남 #오피스로맨스,https://series.naver.com/novel/detail.series?productNo=14644622
2026-09-20,키스 하우스 [독점],만다라,2026-09-12,9.3,113,15.8만,#NOVEL #로맨스 #일상로맨스 #질투 #짝사랑남 #오해 #관계역전,https://series.naver.com/novel/detail.series?productNo=14679271
2026-09-20,온실 속 도련님 [독점],춈춈,2026-09-08,9.5,374,38.1만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14661377
